Economy,Indicator,Unit of Measure,Year,Value
Mongolia,"Domestic Material Consumption, All (t million)",metric ton,2001,74859547.07749
Bangladesh,"Domestic Material Consumption, All (t million)",metric ton,2001,261225748.9166
Bhutan,"Domestic Material Consumption, All (t million)",metric ton,2001,5019379.52525
India,"Domestic Material Consumption, All (t million)",metric ton,2001,3965682076.3082
Maldives,"Domestic Material Consumption, All (t million)",metric ton,2001,1358651.6768
Nepal,"Domestic Material Consumption, All (t million)",metric ton,2001,64113163.8023
Sri Lanka,"Domestic Material Consumption, All (t million)",metric ton,2001,58435087.7478
Brunei Darussalam,"Domestic Material Consumption, All (t million)",metric ton,2001,5681054.07065
Cambodia,"Domestic Material Consumption, All (t million)",metric ton,2001,39507495.88205
Indonesia,"Domestic Material Consumption, All (t million)",metric ton,2001,916444448.33641
Lao People's Democratic Republic,"Domestic Material Consumption, All (t million)",metric ton,2001,21035339.87902
Malaysia,"Domestic Material Consumption, All (t million)",metric ton,2001,351000634.27834
Myanmar,"Domestic Material Consumption, All (t million)",metric ton,2001,170286413.22693
Philippines,"Domestic Material Consumption, All (t million)",metric ton,2001,342582319.50056
Singapore,"Domestic Material Consumption, All (t million)",metric ton,2001,123618891.7317
Thailand,"Domestic Material Consumption, All (t million)",metric ton,2001,495669133.91237
Timor-Leste,"Domestic Material Consumption, All (t million)",metric ton,2001,2141661.99
Viet Nam,"Domestic Material Consumption, All (t million)",metric ton,2001,341691678.70152
Cook Islands,"Domestic Material Consumption, All (t million)",metric ton,2001,59443.13
Fiji,"Domestic Material Consumption, All (t million)",metric ton,2001,10004368.14984
Kiribati,"Domestic Material Consumption, All (t million)",metric ton,2001,363607.35668
Marshall Islands,"Domestic Material Consumption, All (t million)",metric ton,2001,66152.98
"Micronesia, Federated States of","Domestic Material Consumption, All (t million)",metric ton,2001,264854.4
Nauru,"Domestic Material Consumption, All (t million)",metric ton,2001,491764.9
Palau,"Domestic Material Consumption, All (t million)",metric ton,2001,87830.925
Papua New Guinea,"Domestic Material Consumption, All (t million)",metric ton,2001,86184664.24924
Samoa,"Domestic Material Consumption, All (t million)",metric ton,2001,1006827.88717
Solomon Islands,"Domestic Material Consumption, All (t million)",metric ton,2001,1516694.77886
Tonga,"Domestic Material Consumption, All (t million)",metric ton,2001,601708.11862
Tuvalu,"Domestic Material Consumption, All (t million)",metric ton,2001,15286.194
Vanuatu,"Domestic Material Consumption, All (t million)",metric ton,2001,1769332.8659
Australia,"Domestic Material Consumption, All (t million)",metric ton,2001,873008236.42173
Japan,"Domestic Material Consumption, All (t million)",metric ton,2001,1830642561.619
New Zealand,"Domestic Material Consumption, All (t million)",metric ton,2001,148811349.27596
"Taipei,China","Domestic Material Consumption, All (t million)",metric ton,2002,312942800.0
Afghanistan,"Domestic Material Consumption, All (t million)",metric ton,2002,29990812.30653
Armenia,"Domestic Material Consumption, All (t million)",metric ton,2002,31549855.19006
Azerbaijan,"Domestic Material Consumption, All (t million)",metric ton,2002,39425427.905
Georgia,"Domestic Material Consumption, All (t million)",metric ton,2002,18152170.16211
Kazakhstan,"Domestic Material Consumption, All (t million)",metric ton,2002,270741011.90959
Kyrgyz Republic,"Domestic Material Consumption, All (t million)",metric ton,2002,26128211.8805
Pakistan,"Domestic Material Consumption, All (t million)",metric ton,2002,421221793.50993
Tajikistan,"Domestic Material Consumption, All (t million)",metric ton,2002,10925962.73278
Turkmenistan,"Domestic Material Consumption, All (t million)",metric ton,2002,35166623.434
Uzbekistan,"Domestic Material Consumption, All (t million)",metric ton,2002,215395207.07802
"China, People's Republic of","Domestic Material Consumption, All (t million)",metric ton,2002,13544122172.877
"Hong Kong, China","Domestic Material Consumption, All (t million)",metric ton,2002,79869731.406
"Korea, Republic of","Domestic Material Consumption, All (t million)",metric ton,2002,781160332.70412
Mongolia,"Domestic Material Consumption, All (t million)",metric ton,2002,68318836.61565
Bangladesh,"Domestic Material Consumption, All (t million)",metric ton,2002,273737225.7487
Bhutan,"Domestic Material Consumption, All (t million)",metric ton,2002,5919066.34495
India,"Domestic Material Consumption, All (t million)",metric ton,2002,3963969542.321
Maldives,"Domestic Material Consumption, All (t million)",metric ton,2002,1377752.34885
Nepal,"Domestic Material Consumption, All (t million)",metric ton,2002,70583195.87687
Sri Lanka,"Domestic Material Consumption, All (t million)",metric ton,2002,55711178.09074
Brunei Darussalam,"Domestic Material Consumption, All (t million)",metric ton,2002,5854170.63205
Cambodia,"Domestic Material Consumption, All (t million)",metric ton,2002,40795768.79645
Indonesia,"Domestic Material Consumption, All (t million)",metric ton,2002,974269147.53625
Lao People's Democratic Republic,"Domestic Material Consumption, All (t million)",metric ton,2002,23619506.16455
Malaysia,"Domestic Material Consumption, All (t million)",metric ton,2002,342175076.42092
Myanmar,"Domestic Material Consumption, All (t million)",metric ton,2002,170307840.3353
Philippines,"Domestic Material Consumption, All (t million)",metric ton,2002,357322240.83315
Singapore,"Domestic Material Consumption, All (t million)",metric ton,2002,93622137.3426
Thailand,"Domestic Material Consumption, All (t million)",metric ton,2002,567628133.2792
Timor-Leste,"Domestic Material Consumption, All (t million)",metric ton,2002,2276455.28
Viet Nam,"Domestic Material Consumption, All (t million)",metric ton,2002,513418919.64189
Cook Islands,"Domestic Material Consumption, All (t million)",metric ton,2002,46885.5
Fiji,"Domestic Material Consumption, All (t million)",metric ton,2002,10505333.81227
Kiribati,"Domestic Material Consumption, All (t million)",metric ton,2002,365162.94478
Marshall Islands,"Domestic Material Consumption, All (t million)",metric ton,2002,89689.68
"Micronesia, Federated States of","Domestic Material Consumption, All (t million)",metric ton,2002,481009.922
Nauru,"Domestic Material Consumption, All (t million)",metric ton,2002,203295.4
Palau,"Domestic Material Consumption, All (t million)",metric ton,2002,88036.94
Papua New Guinea,"Domestic Material Consumption, All (t million)",metric ton,2002,71008982.55002
Samoa,"Domestic Material Consumption, All (t million)",metric ton,2002,1119394.77876
Solomon Islands,"Domestic Material Consumption, All (t million)",metric ton,2002,1512511.89584
Tonga,"Domestic Material Consumption, All (t million)",metric ton,2002,598077.40002
Tuvalu,"Domestic Material Consumption, All (t million)",metric ton,2002,24330.85454
Vanuatu,"Domestic Material Consumption, All (t million)",metric ton,2002,1673889.70269
Australia,"Domestic Material Consumption, All (t million)",metric ton,2002,886175207.96806
Japan,"Domestic Material Consumption, All (t million)",metric ton,2002,1751276332.8404
New Zealand,"Domestic Material Consumption, All (t million)",metric ton,2002,151815289.1654
"Taipei,China","Domestic Material Consumption, All (t million)",metric ton,2003,308590200.0
Afghanistan,"Domestic Material Consumption, All (t million)",metric ton,2003,31974781.44176
Armenia,"Domestic Material Consumption, All (t million)",metric ton,2003,31639581.72868
Azerbaijan,"Domestic Material Consumption, All (t million)",metric ton,2003,44395601.8388
Georgia,"Domestic Material Consumption, All (t million)",metric ton,2003,18894910.06697
Kazakhstan,"Domestic Material Consumption, All (t million)",metric ton,2003,296970998.6616
Kyrgyz Republic,"Domestic Material Consumption, All (t million)",metric ton,2003,30410308.51477
Pakistan,"Domestic Material Consumption, All (t million)",metric ton,2003,453835098.04714
Tajikistan,"Domestic Material Consumption, All (t million)",metric ton,2003,12178192.65236
Turkmenistan,"Domestic Material Consumption, All (t million)",metric ton,2003,38305583.584
Uzbekistan,"Domestic Material Consumption, All (t million)",metric ton,2003,214412408.32259
"China, People's Republic of","Domestic Material Consumption, All (t million)",metric ton,2003,14838247341.061
"Hong Kong, China","Domestic Material Consumption, All (t million)",metric ton,2003,79647209.083
"Korea, Republic of","Domestic Material Consumption, All (t million)",metric ton,2003,828820891.90051
Mongolia,"Domestic Material Consumption, All (t million)",metric ton,2003,66584673.18843
Bangladesh,"Domestic Material Consumption, All (t million)",metric ton,2003,269673257.9387
Bhutan,"Domestic Material Consumption, All (t million)",metric ton,2003,6081664.18628
India,"Domestic Material Consumption, All (t million)",metric ton,2003,4176728656.6428
Maldives,"Domestic Material Consumption, All (t million)",metric ton,2003,1384292.5607
Nepal,"Domestic Material Consumption, All (t million)",metric ton,2003,80574164.56162
Sri Lanka,"Domestic Material Consumption, All (t million)",metric ton,2003,58951174.88052
Brunei Darussalam,"Domestic Material Consumption, All (t million)",metric ton,2003,5437371.1676
Cambodia,"Domestic Material Consumption, All (t million)",metric ton,2003,43213472.10587
Indonesia,"Domestic Material Consumption, All (t million)",metric ton,2003,1025151969.7837
Lao People's Democratic Republic,"Domestic Material Consumption, All (t million)",metric ton,2003,26020700.00711
Malaysia,"Domestic Material Consumption, All (t million)",metric ton,2003,385192481.24341
Myanmar,"Domestic Material Consumption, All (t million)",metric ton,2003,181197969.02083
Philippines,"Domestic Material Consumption, All (t million)",metric ton,2003,347091237.53462
Singapore,"Domestic Material Consumption, All (t million)",metric ton,2003,46919464.1706
Thailand,"Domestic Material Consumption, All (t million)",metric ton,2003,630738367.38139
Timor-Leste,"Domestic Material Consumption, All (t million)",metric ton,2003,2134208.95
Viet Nam,"Domestic Material Consumption, All (t million)",metric ton,2003,579744446.84267
Cook Islands,"Domestic Material Consumption, All (t million)",metric ton,2003,41670.6
Fiji,"Domestic Material Consumption, All (t million)",metric ton,2003,10106669.06626
Kiribati,"Domestic Material Consumption, All (t million)",metric ton,2003,351830.73787
Marshall Islands,"Domestic Material Consumption, All (t million)",metric ton,2003,142580.38
"Micronesia, Federated States of","Domestic Material Consumption, All (t million)",metric ton,2003,404282.00984
Nauru,"Domestic Material Consumption, All (t million)",metric ton,2003,150348.65
Palau,"Domestic Material Consumption, All (t million)",metric ton,2003,88648.84
Papua New Guinea,"Domestic Material Consumption, All (t million)",metric ton,2003,78134893.37196
Samoa,"Domestic Material Consumption, All (t million)",metric ton,2003,1177198.72763
Solomon Islands,"Domestic Material Consumption, All (t million)",metric ton,2003,1495453.95043
Tonga,"Domestic Material Consumption, All (t million)",metric ton,2003,623619.38139
Tuvalu,"Domestic Material Consumption, All (t million)",metric ton,2003,12050.746
Vanuatu,"Domestic Material Consumption, All (t million)",metric ton,2003,1771979.12747
Australia,"Domestic Material Consumption, All (t million)",metric ton,2003,853962473.35278
Japan,"Domestic Material Consumption, All (t million)",metric ton,2003,1640212537.2475
New Zealand,"Domestic Material Consumption, All (t million)",metric ton,2003,156099312.26829
"Taipei,China","Domestic Material Consumption, All (t million)",metric ton,2004,328180500.0
Afghanistan,"Domestic Material Consumption, All (t million)",metric ton,2004,30008117.84306
Armenia,"Domestic Material Consumption, All (t million)",metric ton,2004,35823632.77857
Azerbaijan,"Domestic Material Consumption, All (t million)",metric ton,2004,52034798.626
Georgia,"Domestic Material Consumption, All (t million)",metric ton,2004,19122331.86075
Kazakhstan,"Domestic Material Consumption, All (t million)",metric ton,2004,310049307.00908
Kyrgyz Republic,"Domestic Material Consumption, All (t million)",metric ton,2004,31051491.14603
Pakistan,"Domestic Material Consumption, All (t million)",metric ton,2004,494041957.53162
Tajikistan,"Domestic Material Consumption, All (t million)",metric ton,2004,13189120.94524
Turkmenistan,"Domestic Material Consumption, All (t million)",metric ton,2004,41038347.784
Uzbekistan,"Domestic Material Consumption, All (t million)",metric ton,2004,225435244.97045
"China, People's Republic of","Domestic Material Consumption, All (t million)",metric ton,2004,16318140202.81
"Hong Kong, China","Domestic Material Consumption, All (t million)",metric ton,2004,81402153.301
"Korea, Republic of","Domestic Material Consumption, All (t million)",metric ton,2004,811832152.11423
Mongolia,"Domestic Material Consumption, All (t million)",metric ton,2004,68241271.39736
Bangladesh,"Domestic Material Consumption, All (t million)",metric ton,2004,272576340.5912
Bhutan,"Domestic Material Consumption, All (t million)",metric ton,2004,6306938.31159
India,"Domestic Material Consumption, All (t million)",metric ton,2004,4189122674.4121
Maldives,"Domestic Material Consumption, All (t million)",metric ton,2004,1725712.8866
Nepal,"Domestic Material Consumption, All (t million)",metric ton,2004,78655649.97212
Sri Lanka,"Domestic Material Consumption, All (t million)",metric ton,2004,57580248.2199
Brunei Darussalam,"Domestic Material Consumption, All (t million)",metric ton,2004,5732799.83737
Cambodia,"Domestic Material Consumption, All (t million)",metric ton,2004,43714023.26508
Indonesia,"Domestic Material Consumption, All (t million)",metric ton,2004,1042662907.1189
Lao People's Democratic Republic,"Domestic Material Consumption, All (t million)",metric ton,2004,26449018.02037
Malaysia,"Domestic Material Consumption, All (t million)",metric ton,2004,395429376.52809
Myanmar,"Domestic Material Consumption, All (t million)",metric ton,2004,188958117.80598
Philippines,"Domestic Material Consumption, All (t million)",metric ton,2004,372242818.60084
Singapore,"Domestic Material Consumption, All (t million)",metric ton,2004,73203519.8449
Thailand,"Domestic Material Consumption, All (t million)",metric ton,2004,664259268.65425
Timor-Leste,"Domestic Material Consumption, All (t million)",metric ton,2004,2296847.21219
Viet Nam,"Domestic Material Consumption, All (t million)",metric ton,2004,623235439.12133
Cook Islands,"Domestic Material Consumption, All (t million)",metric ton,2004,48375.2
Fiji,"Domestic Material Consumption, All (t million)",metric ton,2004,11399399.64262
Kiribati,"Domestic Material Consumption, All (t million)",metric ton,2004,512294.32697
Marshall Islands,"Domestic Material Consumption, All (t million)",metric ton,2004,105619.58
"Micronesia, Federated States of","Domestic Material Consumption, All (t million)",metric ton,2004,449898.44807
Nauru,"Domestic Material Consumption, All (t million)",metric ton,2004,64727.9
Palau,"Domestic Material Consumption, All (t million)",metric ton,2004,89311.94
Papua New Guinea,"Domestic Material Consumption, All (t million)",metric ton,2004,64741751.21267
Samoa,"Domestic Material Consumption, All (t million)",metric ton,2004,1186511.80003
Solomon Islands,"Domestic Material Consumption, All (t million)",metric ton,2004,1776551.78577
Tonga,"Domestic Material Consumption, All (t million)",metric ton,2004,649050.32376
Tuvalu,"Domestic Material Consumption, All (t million)",metric ton,2004,23903.24014
Vanuatu,"Domestic Material Consumption, All (t million)",metric ton,2004,1900304.34526
Australia,"Domestic Material Consumption, All (t million)",metric ton,2004,899472614.97101
Japan,"Domestic Material Consumption, All (t million)",metric ton,2004,1569155137.3671
New Zealand,"Domestic Material Consumption, All (t million)",metric ton,2004,163691025.23672
"Taipei,China","Domestic Material Consumption, All (t million)",metric ton,2005,333441700.0
Afghanistan,"Domestic Material Consumption, All (t million)",metric ton,2005,35485013.80885
Armenia,"Domestic Material Consumption, All (t million)",metric ton,2005,37133920.82095
Azerbaijan,"Domestic Material Consumption, All (t million)",metric ton,2005,60238506.3887
Georgia,"Domestic Material Consumption, All (t million)",metric ton,2005,20926769.33021
Kazakhstan,"Domestic Material Consumption, All (t million)",metric ton,2005,321775174.90842
Kyrgyz Republic,"Domestic Material Consumption, All (t million)",metric ton,2005,29131136.52825
Pakistan,"Domestic Material Consumption, All (t million)",metric ton,2005,498618377.82841
Tajikistan,"Domestic Material Consumption, All (t million)",metric ton,2005,14045581.2427
Turkmenistan,"Domestic Material Consumption, All (t million)",metric ton,2005,43486722.574
Uzbekistan,"Domestic Material Consumption, All (t million)",metric ton,2005,221227977.45764
"China, People's Republic of","Domestic Material Consumption, All (t million)",metric ton,2005,17341268004.916
"Hong Kong, China","Domestic Material Consumption, All (t million)",metric ton,2005,82308686.9882
"Korea, Republic of","Domestic Material Consumption, All (t million)",metric ton,2005,728674783.99712
Mongolia,"Domestic Material Consumption, All (t million)",metric ton,2005,107279648.34709
Bangladesh,"Domestic Material Consumption, All (t million)",metric ton,2005,315582302.1243
Bhutan,"Domestic Material Consumption, All (t million)",metric ton,2005,5631267.70028
India,"Domestic Material Consumption, All (t million)",metric ton,2005,4388332382.2247
Maldives,"Domestic Material Consumption, All (t million)",metric ton,2005,1823244.06845
Nepal,"Domestic Material Consumption, All (t million)",metric ton,2005,79948137.24295
Sri Lanka,"Domestic Material Consumption, All (t million)",metric ton,2005,64717049.9546
Brunei Darussalam,"Domestic Material Consumption, All (t million)",metric ton,2005,5107512.36713
Cambodia,"Domestic Material Consumption, All (t million)",metric ton,2005,49482850.8851
Indonesia,"Domestic Material Consumption, All (t million)",metric ton,2005,1143981805.4292
Lao People's Democratic Republic,"Domestic Material Consumption, All (t million)",metric ton,2005,28221717.38695
Malaysia,"Domestic Material Consumption, All (t million)",metric ton,2005,415177939.20694
Myanmar,"Domestic Material Consumption, All (t million)",metric ton,2005,198229825.88391
Philippines,"Domestic Material Consumption, All (t million)",metric ton,2005,374536476.26023
Singapore,"Domestic Material Consumption, All (t million)",metric ton,2005,-217060.5177
Thailand,"Domestic Material Consumption, All (t million)",metric ton,2005,647176742.23842
Timor-Leste,"Domestic Material Consumption, All (t million)",metric ton,2005,2416478.10335
Viet Nam,"Domestic Material Consumption, All (t million)",metric ton,2005,706085577.40358
Cook Islands,"Domestic Material Consumption, All (t million)",metric ton,2005,76816.42437
Fiji,"Domestic Material Consumption, All (t million)",metric ton,2005,10364956.61409
Kiribati,"Domestic Material Consumption, All (t million)",metric ton,2005,569515.82325
Marshall Islands,"Domestic Material Consumption, All (t million)",metric ton,2005,115831.08
"Micronesia, Federated States of","Domestic Material Consumption, All (t million)",metric ton,2005,444771.98454
Nauru,"Domestic Material Consumption, All (t million)",metric ton,2005,52855.4
Palau,"Domestic Material Consumption, All (t million)",metric ton,2005,92539.54
Papua New Guinea,"Domestic Material Consumption, All (t million)",metric ton,2005,74121974.08196
Samoa,"Domestic Material Consumption, All (t million)",metric ton,2005,1378839.36374
Solomon Islands,"Domestic Material Consumption, All (t million)",metric ton,2005,2001257.42839
Tonga,"Domestic Material Consumption, All (t million)",metric ton,2005,701951.09314
Tuvalu,"Domestic Material Consumption, All (t million)",metric ton,2005,27893.49471
Vanuatu,"Domestic Material Consumption, All (t million)",metric ton,2005,1942426.76607
Australia,"Domestic Material Consumption, All (t million)",metric ton,2005,887608027.18382
Japan,"Domestic Material Consumption, All (t million)",metric ton,2005,1473200516.0675
New Zealand,"Domestic Material Consumption, All (t million)",metric ton,2005,167265976.63254
"Taipei,China","Domestic Material Consumption, All (t million)",metric ton,2006,330500200.0
Afghanistan,"Domestic Material Consumption, All (t million)",metric ton,2006,33413253.89248
Armenia,"Domestic Material Consumption, All (t million)",metric ton,2006,38599688.78426
Azerbaijan,"Domestic Material Consumption, All (t million)",metric ton,2006,66751315.1558
Georgia,"Domestic Material Consumption, All (t million)",metric ton,2006,19984637.10014
Kazakhstan,"Domestic Material Consumption, All (t million)",metric ton,2006,345709072.1424
Kyrgyz Republic,"Domestic Material Consumption, All (t million)",metric ton,2006,27914437.44986
Pakistan,"Domestic Material Consumption, All (t million)",metric ton,2006,529617683.45229
Tajikistan,"Domestic Material Consumption, All (t million)",metric ton,2006,14601120.95099
Turkmenistan,"Domestic Material Consumption, All (t million)",metric ton,2006,45582363.524
Uzbekistan,"Domestic Material Consumption, All (t million)",metric ton,2006,221514371.98641
"China, People's Republic of","Domestic Material Consumption, All (t million)",metric ton,2006,18916016096.074
"Hong Kong, China","Domestic Material Consumption, All (t million)",metric ton,2006,61744149.0082
"Korea, Republic of","Domestic Material Consumption, All (t million)",metric ton,2006,748738938.1206
Mongolia,"Domestic Material Consumption, All (t million)",metric ton,2006,113113412.91006
Bangladesh,"Domestic Material Consumption, All (t million)",metric ton,2006,317759672.7392
Bhutan,"Domestic Material Consumption, All (t million)",metric ton,2006,5449236.33657
India,"Domestic Material Consumption, All (t million)",metric ton,2006,4723522724.2452
Maldives,"Domestic Material Consumption, All (t million)",metric ton,2006,2236554.537
Nepal,"Domestic Material Consumption, All (t million)",metric ton,2006,80383796.52869
Sri Lanka,"Domestic Material Consumption, All (t million)",metric ton,2006,71494840.3054
Brunei Darussalam,"Domestic Material Consumption, All (t million)",metric ton,2006,5532164.231
Cambodia,"Domestic Material Consumption, All (t million)",metric ton,2006,55748391.2948
Indonesia,"Domestic Material Consumption, All (t million)",metric ton,2006,1124022697.7575
Lao People's Democratic Republic,"Domestic Material Consumption, All (t million)",metric ton,2006,32648151.09849
Malaysia,"Domestic Material Consumption, All (t million)",metric ton,2006,437871822.2996
Myanmar,"Domestic Material Consumption, All (t million)",metric ton,2006,206833696.74992
Philippines,"Domestic Material Consumption, All (t million)",metric ton,2006,377032412.26767
Singapore,"Domestic Material Consumption, All (t million)",metric ton,2006,60847006.4769
Thailand,"Domestic Material Consumption, All (t million)",metric ton,2006,691080080.1651
Timor-Leste,"Domestic Material Consumption, All (t million)",metric ton,2006,2380241.8232
Viet Nam,"Domestic Material Consumption, All (t million)",metric ton,2006,702389921.53653
Cook Islands,"Domestic Material Consumption, All (t million)",metric ton,2006,64523.5
Fiji,"Domestic Material Consumption, All (t million)",metric ton,2006,10533359.51421
Kiribati,"Domestic Material Consumption, All (t million)",metric ton,2006,719046.03365
Marshall Islands,"Domestic Material Consumption, All (t million)",metric ton,2006,139941.08
"Micronesia, Federated States of","Domestic Material Consumption, All (t million)",metric ton,2006,406164.30415
Nauru,"Domestic Material Consumption, All (t million)",metric ton,2006,112478.65
Palau,"Domestic Material Consumption, All (t million)",metric ton,2006,93010.14
Papua New Guinea,"Domestic Material Consumption, All (t million)",metric ton,2006,73904392.91129
Samoa,"Domestic Material Consumption, All (t million)",metric ton,2006,1104542.74967
Solomon Islands,"Domestic Material Consumption, All (t million)",metric ton,2006,2149323.41632
Tonga,"Domestic Material Consumption, All (t million)",metric ton,2006,646683.60852
Tuvalu,"Domestic Material Consumption, All (t million)",metric ton,2006,16416.67937
Vanuatu,"Domestic Material Consumption, All (t million)",metric ton,2006,2060732.03485
Australia,"Domestic Material Consumption, All (t million)",metric ton,2006,905972865.29507
Japan,"Domestic Material Consumption, All (t million)",metric ton,2006,1443381518.2535
New Zealand,"Domestic Material Consumption, All (t million)",metric ton,2006,162668872.70753
"Taipei,China","Domestic Material Consumption, All (t million)",metric ton,2007,328846300.0
Afghanistan,"Domestic Material Consumption, All (t million)",metric ton,2007,36097433.33795
Armenia,"Domestic Material Consumption, All (t million)",metric ton,2007,42306228.31597
Azerbaijan,"Domestic Material Consumption, All (t million)",metric ton,2007,70076460.2668
Georgia,"Domestic Material Consumption, All (t million)",metric ton,2007,22506167.12715
Kazakhstan,"Domestic Material Consumption, All (t million)",metric ton,2007,409826554.96302
Kyrgyz Republic,"Domestic Material Consumption, All (t million)",metric ton,2007,31838756.0932
Pakistan,"Domestic Material Consumption, All (t million)",metric ton,2007,588402943.16429
Tajikistan,"Domestic Material Consumption, All (t million)",metric ton,2007,15444917.66111
Turkmenistan,"Domestic Material Consumption, All (t million)",metric ton,2007,45156432.971
Uzbekistan,"Domestic Material Consumption, All (t million)",metric ton,2007,227094192.16294
"China, People's Republic of","Domestic Material Consumption, All (t million)",metric ton,2007,20295606683.885
"Hong Kong, China","Domestic Material Consumption, All (t million)",metric ton,2007,70899432.578
"Korea, Republic of","Domestic Material Consumption, All (t million)",metric ton,2007,776296395.42243
Mongolia,"Domestic Material Consumption, All (t million)",metric ton,2007,118051978.00408
Bangladesh,"Domestic Material Consumption, All (t million)",metric ton,2007,327122797.1433
Bhutan,"Domestic Material Consumption, All (t million)",metric ton,2007,5835085.71031
