Economy,Indicator,Unit of Measure,Year,Value
Kazakhstan,"Material Footprint, All (t million)",metric ton,2008,483500000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2008,42600000
Pakistan,"Material Footprint, All (t million)",metric ton,2008,577200000
Tajikistan,"Material Footprint, All (t million)",metric ton,2008,21500000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2008,36800000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2008,151500000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2008,17988100000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2008,432100000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2008,1148300000
Mongolia,"Material Footprint, All (t million)",metric ton,2008,29100000
Bangladesh,"Material Footprint, All (t million)",metric ton,2008,315700000
Bhutan,"Material Footprint, All (t million)",metric ton,2008,10700000
India,"Material Footprint, All (t million)",metric ton,2008,4863300000
Maldives,"Material Footprint, All (t million)",metric ton,2008,5600000
Nepal,"Material Footprint, All (t million)",metric ton,2008,58000000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2008,92600000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2008,24200000
Cambodia,"Material Footprint, All (t million)",metric ton,2008,53400000
Indonesia,"Material Footprint, All (t million)",metric ton,2008,1192100000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2008,34100000
Malaysia,"Material Footprint, All (t million)",metric ton,2008,390600000
Myanmar,"Material Footprint, All (t million)",metric ton,2008,96800000
Philippines,"Material Footprint, All (t million)",metric ton,2008,470800000
Singapore,"Material Footprint, All (t million)",metric ton,2008,313900000
Thailand,"Material Footprint, All (t million)",metric ton,2008,636900000
Viet Nam,"Material Footprint, All (t million)",metric ton,2008,693100000
Fiji,"Material Footprint, All (t million)",metric ton,2008,5700000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2008,23600000
Samoa,"Material Footprint, All (t million)",metric ton,2008,1200000
Vanuatu,"Material Footprint, All (t million)",metric ton,2008,1600000
Australia,"Material Footprint, All (t million)",metric ton,2008,923300000
Japan,"Material Footprint, All (t million)",metric ton,2008,2789200000
New Zealand,"Material Footprint, All (t million)",metric ton,2008,135800000
Afghanistan,"Material Footprint, All (t million)",metric ton,2009,40700000
Armenia,"Material Footprint, All (t million)",metric ton,2009,25900000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2009,84900000
Georgia,"Material Footprint, All (t million)",metric ton,2009,38800000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2009,538200000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2009,38100000
Pakistan,"Material Footprint, All (t million)",metric ton,2009,518000000
Tajikistan,"Material Footprint, All (t million)",metric ton,2009,21300000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2009,33200000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2009,161600000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2009,21475400000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2009,472600000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2009,965900000
Mongolia,"Material Footprint, All (t million)",metric ton,2009,31200000
Bangladesh,"Material Footprint, All (t million)",metric ton,2009,329800000
Bhutan,"Material Footprint, All (t million)",metric ton,2009,10500000
India,"Material Footprint, All (t million)",metric ton,2009,5095400000
Maldives,"Material Footprint, All (t million)",metric ton,2009,5100000
Nepal,"Material Footprint, All (t million)",metric ton,2009,60200000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2009,77400000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2009,25200000
Cambodia,"Material Footprint, All (t million)",metric ton,2009,64000000
Indonesia,"Material Footprint, All (t million)",metric ton,2009,1137400000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2009,34500000
Malaysia,"Material Footprint, All (t million)",metric ton,2009,398700000
Myanmar,"Material Footprint, All (t million)",metric ton,2009,104200000
Philippines,"Material Footprint, All (t million)",metric ton,2009,447500000
Singapore,"Material Footprint, All (t million)",metric ton,2009,270000000
Thailand,"Material Footprint, All (t million)",metric ton,2009,605600000
Viet Nam,"Material Footprint, All (t million)",metric ton,2009,774100000
Fiji,"Material Footprint, All (t million)",metric ton,2009,5100000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2009,30300000
Samoa,"Material Footprint, All (t million)",metric ton,2009,1300000
Vanuatu,"Material Footprint, All (t million)",metric ton,2009,1600000
Australia,"Material Footprint, All (t million)",metric ton,2009,972100000
Japan,"Material Footprint, All (t million)",metric ton,2009,2343300000
New Zealand,"Material Footprint, All (t million)",metric ton,2009,121300000
Afghanistan,"Material Footprint, All (t million)",metric ton,2010,51700000
Armenia,"Material Footprint, All (t million)",metric ton,2010,18600000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2010,86500000
Georgia,"Material Footprint, All (t million)",metric ton,2010,37800000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2010,478200000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2010,36600000
Pakistan,"Material Footprint, All (t million)",metric ton,2010,500700000
Tajikistan,"Material Footprint, All (t million)",metric ton,2010,22100000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2010,29000000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2010,151600000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2010,23584800000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2010,488200000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2010,1056700000
Mongolia,"Material Footprint, All (t million)",metric ton,2010,27300000
Bangladesh,"Material Footprint, All (t million)",metric ton,2010,357100000
Bhutan,"Material Footprint, All (t million)",metric ton,2010,17600000
India,"Material Footprint, All (t million)",metric ton,2010,5577600000
Maldives,"Material Footprint, All (t million)",metric ton,2010,5200000
Nepal,"Material Footprint, All (t million)",metric ton,2010,67000000
Sri Lanka,"Material Footprint, All (t million)",metric ton,2010,87600000
Brunei Darussalam,"Material Footprint, All (t million)",metric ton,2010,25100000
Cambodia,"Material Footprint, All (t million)",metric ton,2010,92200000
Indonesia,"Material Footprint, All (t million)",metric ton,2010,1259600000
Lao People's Democratic Republic,"Material Footprint, All (t million)",metric ton,2010,41500000
Malaysia,"Material Footprint, All (t million)",metric ton,2010,443100000
Myanmar,"Material Footprint, All (t million)",metric ton,2010,105800000
Philippines,"Material Footprint, All (t million)",metric ton,2010,451200000
Singapore,"Material Footprint, All (t million)",metric ton,2010,261800000
Thailand,"Material Footprint, All (t million)",metric ton,2010,676300000
Viet Nam,"Material Footprint, All (t million)",metric ton,2010,761500000
Fiji,"Material Footprint, All (t million)",metric ton,2010,5100000
Papua New Guinea,"Material Footprint, All (t million)",metric ton,2010,34200000
Samoa,"Material Footprint, All (t million)",metric ton,2010,1300000
Vanuatu,"Material Footprint, All (t million)",metric ton,2010,1900000
Australia,"Material Footprint, All (t million)",metric ton,2010,1005900000
Japan,"Material Footprint, All (t million)",metric ton,2010,2530300000
New Zealand,"Material Footprint, All (t million)",metric ton,2010,132300000
Afghanistan,"Material Footprint, All (t million)",metric ton,2011,63900000
Armenia,"Material Footprint, All (t million)",metric ton,2011,19300000
Azerbaijan,"Material Footprint, All (t million)",metric ton,2011,99100000
Georgia,"Material Footprint, All (t million)",metric ton,2011,45400000
Kazakhstan,"Material Footprint, All (t million)",metric ton,2011,474700000
Kyrgyz Republic,"Material Footprint, All (t million)",metric ton,2011,41300000
Pakistan,"Material Footprint, All (t million)",metric ton,2011,528700000
Tajikistan,"Material Footprint, All (t million)",metric ton,2011,28300000
Turkmenistan,"Material Footprint, All (t million)",metric ton,2011,30300000
Uzbekistan,"Material Footprint, All (t million)",metric ton,2011,163800000
"China, People's Republic of","Material Footprint, All (t million)",metric ton,2011,25409400000
"Hong Kong, China","Material Footprint, All (t million)",metric ton,2011,526800000
"Korea, Republic of","Material Footprint, All (t million)",metric ton,2011,1128100000
Mongolia,"Material Footprint, All (t million)",metric ton,2011,31900000
Bangladesh,"Material Footprint, All (t million)",metric ton,2011,367200000
Bhutan,"Material Footprint, All (t million)",metric ton,2011,16700000
India,"Material Footprint, All (t million)",metric ton,2011,6076600000
Maldives,"Material Footprint, All (t million)",metric ton,2011,5200000
